"Plot Title: H5"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695064)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/26/2019 02:09:10 PM,24.267,,,,
06/26/2019 03:09:10 PM,23.112,,,,
06/26/2019 04:09:10 PM,22.106,,,,
06/26/2019 05:09:10 PM,21.724,,,,
06/26/2019 06:09:10 PM,18.818,,,,
06/26/2019 07:09:10 PM,16.272,,,,
06/26/2019 08:09:10 PM,13.930,,,,
06/26/2019 09:09:10 PM,12.992,,,,
06/26/2019 10:09:10 PM,11.565,,,,
06/26/2019 11:09:10 PM,11.759,,,,
06/27/2019 12:09:10 AM,11.005,,,,
06/27/2019 01:09:10 AM,11.005,,,,
06/27/2019 02:09:10 AM,11.102,,,,
06/27/2019 03:09:10 AM,11.053,,,,
06/27/2019 04:09:10 AM,10.394,,,,
06/27/2019 05:09:10 AM,9.829,,,,
06/27/2019 06:09:10 AM,10.001,,,,
06/27/2019 07:09:10 AM,9.608,,,,
06/27/2019 08:09:10 AM,9.064,,,,
06/27/2019 09:09:10 AM,9.064,,,,
06/27/2019 10:09:10 AM,9.854,,,,
06/27/2019 11:09:10 AM,17.368,,,,
06/27/2019 12:09:10 PM,20.889,,,,
06/27/2019 01:09:10 PM,24.050,,,,
06/27/2019 02:09:10 PM,24.629,,,,
06/27/2019 03:09:10 PM,22.250,,,,
06/27/2019 04:09:10 PM,21.294,,,,
06/27/2019 05:09:10 PM,20.198,,,,
06/27/2019 06:09:10 PM,17.510,,,,
06/27/2019 07:09:10 PM,15.318,,,,
06/27/2019 08:09:10 PM,13.714,,,,
06/27/2019 09:09:10 PM,12.437,,,,
06/27/2019 10:09:10 PM,11.492,,,,
06/27/2019 11:09:10 PM,10.883,,,,
06/28/2019 12:09:10 AM,10.296,,,,
06/28/2019 01:09:10 AM,9.977,,,,
06/28/2019 02:09:10 AM,9.485,,,,
06/28/2019 03:09:10 AM,9.435,,,,
